AABA,Altaba Inc.
AAN,"Aaron&#39;s,  Inc."
AAOI,"Applied Optoelectronics, Inc."
AAPL,Apple Inc.
ACIA,"Acacia Communications, Inc."
ACIW,"ACI Worldwide, Inc."
ACLS,"Axcelis Technologies, Inc."
ACTA,Actua Corporation
ACXM,Acxiom Corporation
ACY,AeroCentury Corp.
ADBE,Adobe Systems Incorporated
ADI,"Analog Devices, Inc."
ADP,"Automatic Data Processing, Inc."
ADSK,"Autodesk, Inc."
AER,Aercap Holdings N.V.
AGYS,"Agilysys, Inc."
AIRG,"Airgain, Inc."
AL,Air Lease Corporation
ALLT,Allot Communications Ltd.
ALOT,"AstroNova, Inc."
ALRM,"Alarm.com Holdings, Inc."
AMAT,"Applied Materials, Inc."
AMBA,"Ambarella, Inc."
AMBR,"Amber Road, Inc."
AMCN,AirMedia Group Inc
AMD,"Advanced Micro Devices, Inc."
AMKR,"Amkor Technology, Inc."
AMN,AMN Healthcare Services Inc
AMSWA,"American Software, Inc."
ANET,"Arista Networks, Inc."
ANSS,"ANSYS, Inc."
ANY,Sphere 3D Corp.
AOSL,Alpha and Omega Semiconductor Limited
APPF,"AppFolio, Inc."
APPN,Appian Corporation
APTI,"Apptio, Inc."
ARRS,ARRIS International plc
ASGN,"On Assignment, Inc."
ASML,ASML Holding N.V.
ASUR,Asure Software Inc
ASX,"Advanced Semiconductor Engineering, Inc."
ASYS,"Amtech Systems, Inc."
ATEN,"A10 Networks, Inc."
ATHM,Autohome Inc.
ATOM,Atomera Incorporated
ATTU,Attunity Ltd.
ATU,Actuant Corporation
ATVI,"Activision Blizzard, Inc"
AUO,AU Optronics Corp
AUTO,"AutoWeb, Inc."
AVGO,Broadcom Limited
AVID,"Avid Technology, Inc."
AVNW,"Aviat Networks, Inc."
AWRE,"Aware, Inc."
AXTI,AXT Inc
AYR,Aircastle Limited
AYX,"Alteryx, Inc."
AZPN,"Aspen Technology, Inc."
BBOX,Black Box Corporation
BBRY,BlackBerry Limited
BBSI,"Barrett Business Services, Inc."
BCOV,Brightcove Inc.
BDR,"Blonder Tongue Laboratories, Inc."
BGSF,BG Staffing Inc
BHE,"Benchmark Electronics, Inc."
BIDU,"Baidu, Inc."
BITA,Bitauto Holdings Limited
BKI,"Black Knight, Inc."
BKYI,"BIO-key International, Inc."
BL,"BlackLine, Inc."
BLIN          ,"Bridgeline Digital, Inc."
BLKB,"Blackbaud, Inc."
BNFT,"Benefitfocus, Inc."
BOSC,B.O.S. Better Online Solutions
BOX,"Box, Inc."
BRCD,"Brocade Communications Systems, Inc."
BRKS,"Brooks Automation, Inc."
BSFT,"BroadSoft, Inc."
BV,"Bazaarvoice, Inc."
BVSN,"BroadVision, Inc."
CA,CA Inc.
CACI,"CACI International, Inc."
CAI,"CAI International, Inc."
CALD,"Callidus Software, Inc."
CAMP,CalAmp Corp.
CARB,"Carbonite, Inc."
CARS,Cars.com Inc.
CAVM,"Cavium, Inc."
CCIH,ChinaCache International Holdings Ltd.
CCMP,Cabot Microelectronics Corporation
CCRN,"Cross Country Healthcare, Inc."
CCUR,Concurrent Computer Corporation
CDNS,"Cadence Design Systems, Inc."
CERN,Cerner Corporation
CEVA,"CEVA, Inc."
CHKP,Check Point Software Technologies Ltd.
CHUBA,"CommerceHub, Inc."
CHUBK,"CommerceHub, Inc."
CISN,Cision Ltd.
CLDR,"Cloudera, Inc."
CLGX,"CoreLogic, Inc."
CLNT,"Cleantech Solutions International, Inc."
CLS,"Celestica, Inc."
CMCM,Cheetah Mobile Inc.
CMTL,Comtech Telecommunications Corp.
CNET,"ChinaNet Online Holdings, Inc."
CNIT,"China Information Technology, Inc."
CNXR,"Connecture, Inc."
COMM,"CommScope Holding Company, Inc."
COOL,"PolarityTE, Inc."
COUP,Coupa Software Incorporated
CPAH,CounterPath Corporation
CPSI,"Computer Programs and Systems, Inc."
CRAY,Cray Inc
CREE,"Cree, Inc."
CRM,Salesforce.com Inc
CRNT,Ceragon Networks Ltd.
CRTO,Criteo S.A.
CRUS,"Cirrus Logic, Inc."
CSCO,"Cisco Systems, Inc."
CSGS,"CSG Systems International, Inc."
CSIQ,Canadian Solar Inc.
CSLT,"Castlight Health, inc."
CSOD,"Cornerstone OnDemand, Inc."
CSPI,CSP Inc.
CSRA,CSRA Inc.
CTG,"Computer Task Group, Incorporated"
CTS,CTS Corporation
CTSH,Cognizant Technology Solutions Corporation
CTXS,"Citrix Systems, Inc."
CUDA,"Barracuda Networks, Inc."
CVG,Convergys Corporation
CVLT,"Commvault Systems, Inc."
CVR,Chicago Rivet & Machine Co.
CVV,CVD Equipment Corporation
CW,Curtiss-Wright Corporation
CYBR,CyberArk Software Ltd.
CY,Cypress Semiconductor Corporation
CYOU,Changyou.com Limited
CYRN,CYREN Ltd.
DATA,"Tableau Software, Inc."
DCM,"NTT DOCOMO, Inc"
DDD,3D Systems Corporation
DGII,Digi International Inc.
DGLY,"Digital Ally, Inc."
DIOD,Diodes Incorporated
DLHC,DLH Holdings Corp.
DMRC,Digimarc Corporation
DOV,Dover Corporation
DOX,Amdocs Limited
DQ,DAQO New Energy Corp.
DSGX,The Descartes Systems Group Inc.
DSPG,"DSP Group, Inc."
DST,"DST Systems, Inc."
DTRM,"Determine, Inc. "
DVMT,Dell Technologies Inc.
DWCH,Datawatch Corporation
DXC,DXC Technology Company
EA,Electronic Arts Inc.
EBIX,"Ebix, Inc."
ECOM          ,ChannelAdvisor Corporation
EDGW,"Edgewater Technology, Inc."
EFII,"Electronics for Imaging, Inc."
EGAN,eGain Corporation
EIGI,"Endurance International Group Holdings, Inc."
ELLI,"Ellie Mae, Inc."
ELON,Echelon Corporation
ELTK,Eltek Ltd.
EMAN,eMagin Corporation
EMKR,EMCORE Corporation
ENPH,"Enphase Energy, Inc."
EPAM,"EPAM Systems, Inc."
EPAY,"Bottomline Technologies, Inc."
ERIC,Ericsson
ERII,"Energy Recovery, Inc."
ETN,"Eaton Corporation, PLC"
EVBG,"Everbridge, Inc."
EVOL,"Evolving Systems, Inc."
EVTC,"Evertec, Inc."
EXA,Exa Corporation
EXTN,Exterran Corporation
EXTR,"Extreme Networks, Inc."
FB,"Facebook, Inc."
FDS,FactSet Research Systems Inc.
FEYE,"FireEye, Inc."
FFIV,"F5 Networks, Inc."
FISV,"Fiserv, Inc."
FIT,"Fitbit, Inc."
FIVN,"Five9, Inc."
FLEX,Flex Ltd.
FLOW,"SPX FLOW, Inc."
FNSR,Finisar Corporation
FORM,"FormFactor, Inc."
FORTY,Formula Systems (1985) Ltd.
FPAY,"FlexShopper, Inc."
FRSX,Foresight Autonomous Holdings Ltd.
FSLR,"First Solar, Inc."
FSNN,"Fusion Telecommunications International, Inc."
FTNT,"Fortinet, Inc."
GDDY,GoDaddy Inc.
GDI,"Gardner Denver Holdings, Inc."
GDS,GDS Holdings Limited
GEC,"Great Elm Capital Group, Inc. "
GFNCP,General Finance Corporation
GFN,General Finance Corporation
GFNSL,General Finance Corporation
GHM,Graham Corporation
GIGM,GigaMedia Limited
